model_name;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;recall_4;precision_4;recall_5;precision_5;dataset_size;abs_0;rel_0;abs_2;rel_2;abs_5;rel_5;abs_4;rel_4;abs_1;rel_1;abs_3;rel_3;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
all-mpnet-base-v2;0.483;0.515;0.524;0.560;0.362;0.726;0.517;0.267;0.604;0.414;0.590;0.510;0.494;0.276;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-16-36_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.459;0.547;0.511;0.615;0.202;0.763;0.646;0.248;0.702;0.464;0.665;0.557;0.556;0.200;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-17-50_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.486;0.456;0.562;0.545;0.514;0.734;0.382;0.254;0.415;0.430;0.382;0.382;0.481;0.200;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-22-18_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.547;0.524;0.718;0.590;0.513;0.843;0.371;0.342;0.433;0.610;0.481;0.370;0.630;0.213;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-23-20_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.359;0.359;0.353;0.474;0.368;0.600;0.236;0.190;0.313;0.228;0.505;0.401;0.383;0.106;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-27-03_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.603;0.578;0.607;0.708;0.670;0.775;0.433;0.306;0.418;0.516;0.759;0.478;0.580;0.439;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-28-07_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.475;0.465;0.433;0.638;0.516;0.798;0.421;0.272;0.607;0.417;0.321;0.382;0.494;0.126;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-31-57_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.611;0.569;0.629;0.769;0.609;0.820;0.461;0.366;0.731;0.494;0.637;0.504;0.346;0.219;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-32-58_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.405;0.394;0.384;0.496;0.472;0.736;0.242;0.131;0.335;0.269;0.425;0.588;0.506;0.137;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-36-43_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.611;0.588;0.785;0.666;0.575;0.788;0.124;0.122;0.585;0.649;0.642;0.542;0.815;0.420;48;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;8;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-37-46_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.757;0.780;0.758;0.829;0.719;0.937;0.747;0.508;0.796;0.676;0.797;0.655;0.864;0.619;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-41-33_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.794;0.816;0.796;0.857;0.750;0.935;0.753;0.575;0.880;0.710;0.816;0.727;0.901;0.652;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f2c28758940>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_22-49-05_a93a1fe54de0;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.726;0.758;0.753;0.820;0.648;0.919;0.753;0.399;0.749;0.658;0.821;0.722;0.827;0.615;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7bb1c6f07ac0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec15_00-15-22_04c63a1ccf07;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.787;0.801;0.833;0.804;0.743;0.914;0.837;0.528;0.720;0.811;0.849;0.759;0.827;0.705;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7bb1c6f07ac0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec15_00-23-12_04c63a1ccf07;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.733;0.748;0.787;0.811;0.686;0.881;0.663;0.423;0.705;0.719;0.797;0.635;0.852;0.670;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7bb1c6f07ac0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec15_00-52-16_04c63a1ccf07;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
UAE-Large-V1;0.799;0.806;0.785;0.850;0.800;0.888;0.730;0.610;0.804;0.742;0.863;0.738;0.852;0.697;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7bb1c6f07ac0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec15_00-59-59_04c63a1ccf07;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
all-mpnet-base-v2;0.719;0.767;0.747;0.811;0.643;0.908;0.826;0.392;0.724;0.703;0.712;0.719;0.951;0.611;384;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;64;0.17;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7bb1c6f07ac0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec15_01-28-23_04c63a1ccf07;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
